condition,summary,symptoms,treatments,ICD_code,source
Hypertension,Understand hypertension. Understand the classification of high blood pressure. Understand how blood pressure is measured. Understand what lifestyle changes and medications can do to control blood pressure if necessary. Know the difference between primary and secondary hypertensions. Know how to measure blood pressure at rest. Learn how to monitor blood pressure over a 24-hour period. Consider lifestyle changes.,Not found,Not found,I10,https://en.wikipedia.org/wiki/Hypertension
Diabetes mellitus type 2,Know the symptoms of Type 2 diabetes. Know the causes of Type 1 diabetes and gestational diabetes. Understand the treatment options for Type 2 diabetics. Know how to diagnose type 2 diabetes and treat it. Understand how diabetes is treated. Know what to expect.,fatigue,"metformin, insulin",E11,https://en.wikipedia.org/wiki/Diabetes_mellitus_type_2
Asthma,Learn about asthma symptoms. Recognize the symptoms of asthma. Determine if asthma is a symptom of a trigger. Understand how asthma is classified. Know how asthma can be controlled. Understand the role of corticosteroids in treating asthma.,"cough, shortness of breath",beta blockers,J45,https://en.wikipedia.org/wiki/Asthma
Chronic kidney disease,Understand what chronic kidney disease is. Determine the cause of CKD. Diagnosis the cause. Treat the underlying cause. Take appropriate preventative measures to prevent kidney failure. Follow the recommended treatment regimen. Take steps to reduce the risk of kidney failure or transplantation.,Not found,Not found,N18,https://en.wikipedia.org/wiki/Chronic_kidney_disease
Heart failure,"Understand heart failure. Recognize the causes of heart failure and their causes. Diagnosis heart failure based on symptoms, physical findings, and echocardiography. Treat heart failure with lifestyle changes and lifestyle changes, as well as pharmacological treatments.","fatigue, shortness of breath",beta blockers,I50,https://en.wikipedia.org/wiki/Heart_failure
Depression,"summary: Mental health Depression (mood), a state of low mood and aversion to activity Mood disorders characterized by depression are commonly referred to as simply depression, including:: Major depressive disorder, also known as clinical depression Bipolar disorder, often known as manic depression Economics Economic depression, a sustained, long-term downturn in economic activity in one or more economies Great Depression, an economic depression during the 1930s, commonly known as simply",Not found,Not found,F32,https://en.wikipedia.org/wiki/Depression
Breast cancer,Learn about breast cancer. Learn about the different sub-types of breast cancer and their causes. Understand how breast cancer is diagnosed and treated. Understand the diagnosis and treatment. Understand what breast cancer screening is and how it can be used to detect it. Understand breast cancer detection.,"pain, shortness of breath",Not found,C50,https://en.wikipedia.org/wiki/Breast_cancer
Pneumonia,Recognize the symptoms of pneumonia. Identify the risk factors for pneumonia. Prevent pneumonia. Treat pneumonia. Understand how pneumonia affects the elderly and the young. Understand the importance of pneumonia in the long-term survival of those who have suffered from it.,"cough, pain, fever",antibiotics,J18,https://en.wikipedia.org/wiki/Pneumonia
Anemia,Understand the symptoms of anemia. Identify the causes of the disease. Determine the cause of the condition. Determine if anemia is a temporary condition or an acute one. Determine whether anemia can be treated with medication. Determine how anemia affects the body.,"shortness of breath, headache",Not found,D64,https://en.wikipedia.org/wiki/Anemia
Migraine,Know what migraine is. Know the symptoms of migraine. Understand the causes of migraine headaches. Know how to treat migraine. Know when to take prophylactic medication. Know what to do if you experience multiple migraine attacks per month. Understand how to prevent migraine headache attacks.,"pain, nausea, headache",beta blockers,G43,https://en.wikipedia.org/wiki/Migraine
